,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Klaksvík,62.2266,-6.589,46.4,100,75,9.22,FO,1618627765
123,Muros,42.7762,-9.0603,46.0,68,49,9.19,ES,1618627942
124,Boa Vista,2.8197,-60.6733,78.8,89,75,2.3,BR,1618627943
125,Bambous Virieux,-20.3428,57.7575,80.01,88,40,4.61,MU,1618627943
126,Anūpshahr,28.3667,78.2667,86.13,29,69,7.74,IN,1618627943
127,Bendigo,-36.7667,144.2833,70.0,37,21,7.23,AU,1618627944
128,Horn,51.8715,8.9451,34.0,71,90,3.51,DE,1618627944
129,Dovers,12.8833,-61.1833,79.39,73,94,19.28,VC,1618627945
130,Chui,-33.6971,-53.4616,64.74,93,0,4.59,UY,1618627945
131,Norman Wells,65.282,-126.8329,46.4,49,75,8.05,CA,1618627946
132,Havelock,34.8791,-76.9013,61.0,76,1,5.75,US,1618627946
133,East London,-33.0153,27.9116,59.11,66,1,12.64,ZA,1618627947
134,Lebu,-37.6167,-73.65,53.13,87,68,9.6,CL,1618627948
135,Severo-Kuril'sk,50.6789,156.125,36.21,60,81,8.81,RU,1618627948
136,Farnes,61.3167,7.8,18.39,94,51,6.24,NO,1618627949
137,Clacton-on-Sea,51.7897,1.156,42.01,91,0,3.0,GB,1618627989
138,Hobart,-42.8794,147.3294,62.6,51,75,14.97,AU,1618627990
139,Sitges,41.2351,1.8119,48.0,77,100,1.01,ES,1618627990
140,Pangnirtung,66.1451,-65.7125,-9.42,86,19,6.89,CA,1618627754
141,Hauterive,46.0901,3.4459,35.6,64,0,8.05,FR,1618627991
142,Khatanga,71.9667,102.5,11.55,89,100,10.0,RU,1618627834
143,Banjar,-8.19,114.9675,86.0,74,20,9.22,ID,1618627992
144,Faanui,-16.4833,-151.75,82.36,71,40,5.57,PF,1618627993
145,Sindor,62.8629,51.8905,34.25,83,94,7.92,RU,1618627993
146,Tabuk,17.4189,121.4443,87.85,54,98,5.12,PH,1618627994
147,Talara,-4.5772,-81.2719,70.68,79,99,9.6,PE,1618627994
148,Verkhniye Tatyshly,56.2912,55.8575,37.4,73,7,9.46,RU,1618627995
149,Port Elizabeth,-33.918,25.5701,60.8,67,0,14.97,ZA,1618627996
150,Ancud,-41.8697,-73.8203,52.0,100,20,5.75,CL,1618627996
151,Galveston,29.3669,-94.9669,71.01,92,100,5.99,US,1618627997
152,Saint Augustine,29.8947,-81.3145,62.6,88,90,4.61,US,1618627753
153,Port Blair,11.6667,92.75,85.37,66,62,11.61,IN,1618627997
154,Témiscaming,46.7212,-79.0971,42.8,93,100,4.61,CA,1618627998
155,Mahibadhoo,3.7833,72.9667,82.81,72,25,4.65,MV,1618627999
156,Port Lincoln,-34.7333,135.8667,65.35,48,7,5.61,AU,1618628177
157,Jalu,29.0331,21.5482,81.23,14,0,13.87,LY,1618628037
158,Chunskiy,56.0815,99.6342,33.71,76,100,11.25,RU,1618628222
159,Arraial do Cabo,-22.9661,-42.0278,74.48,77,14,17.2,BR,1618628222
160,Ixtapa,20.7,-105.2,75.2,78,1,4.61,MX,1618628223
161,Vao,-22.6667,167.4833,74.1,75,55,17.36,NC,1618628223
162,Verkhnyaya Inta,65.9811,60.3094,23.4,93,100,1.41,RU,1618628224
163,Vila,42.0304,-8.1588,42.01,83,45,1.99,PT,1618628224
164,Dhali,10.5,77.1667,80.6,69,20,3.2,IN,1618628225
165,Menongue,-14.6585,17.691,58.44,73,17,3.44,AO,1618628177
166,Villablino,42.9393,-6.3194,41.0,49,4,8.01,ES,1618628056
167,Karasjok,69.4719,25.5112,44.6,57,90,4.61,NO,1618628226
168,Vardø,70.3705,31.1107,39.99,76,100,30.76,NO,1618627979
169,Mahébourg,-20.4081,57.7,77.0,88,40,4.61,MU,1618628109
170,Namatanai,-3.6667,152.4333,82.54,73,97,5.61,PG,1618628094
171,Namanga,-2.5433,36.7905,62.74,93,40,1.14,KE,1618628227
172,Namanyere,-7.5167,31.05,57.97,97,100,5.17,TZ,1618628228
173,Saint-Joseph,-21.3667,55.6167,77.0,83,0,3.44,RE,1618628228
174,Poltavka,54.3663,71.7632,34.84,69,6,7.34,RU,1618628229
175,Tilichiki,60.4667,166.1,25.75,77,100,15.95,RU,1618628229
176,Shushenskoye,53.325,91.9356,35.6,75,40,17.9,RU,1618628230
177,Aykhal,66.0,111.5,8.78,90,100,21.36,RU,1618628099
178,Dikson,73.5069,80.5464,-3.69,94,98,4.85,RU,1618628230
179,Mahanoro,-19.9,48.8,72.45,86,57,3.36,MG,1618628231
180,Chulym,55.0997,80.9572,30.2,75,97,8.61,RU,1618628252
181,Nesbyen,60.5681,9.1027,34.0,75,88,1.01,NO,1618628252
182,Paraopeba,-19.2757,-44.4033,64.4,68,0,3.44,BR,1618628253
183,Baykit,61.67,96.37,7.07,76,100,13.6,RU,1618628254
184,Bethel,41.3712,-73.414,41.0,82,95,9.53,US,1618627990
185,Ketchikan,55.3422,-131.6461,57.2,54,1,6.91,US,1618628255
186,Santa Isabel Rio Negro,-0.4139,-65.0192,73.78,98,100,1.48,BR,1618628047
187,Karratha,-20.7377,116.8463,90.99,29,1,18.5,AU,1618628108
188,Los Llanos de Aridane,28.6585,-17.9182,68.0,73,20,16.11,ES,1618628256
189,Līsakovsk,52.5369,62.4936,44.67,81,25,9.35,KZ,1618628256
190,Hasaki,35.7333,140.8333,64.0,67,75,17.27,JP,1618628253
191,Esperance,-33.8667,121.9,68.0,56,55,8.05,AU,1618628257
192,Bayonet Point,28.3267,-82.6834,75.99,86,100,8.14,US,1618628258
193,Inyonga,-6.7167,32.0667,61.14,98,66,3.44,TZ,1618628258
194,Collie,-33.3667,116.15,66.99,62,15,3.0,AU,1618628259
195,Caravelas,-17.7125,-39.2481,72.84,86,10,4.36,BR,1618628005
196,Champerico,14.3,-91.9167,68.0,97,35,8.34,GT,1618627994
197,São João da Barra,-21.6403,-41.0511,72.0,82,27,6.85,BR,1618628001
198,Karwar,14.8,74.1333,83.66,63,0,3.13,IN,1618628260
199,Yar-Sale,66.8333,70.8333,1.74,94,50,9.64,RU,1618628261
200,Dingle,10.9995,122.6711,86.45,61,96,11.43,PH,1618628261
201,Kapuskasing,49.4169,-82.4331,30.2,93,100,4.61,CA,1618628262
202,Tuatapere,-46.1333,167.6833,55.0,61,94,8.01,NZ,1618628262
203,Ponta do Sol,32.6667,-17.1,57.99,67,9,5.01,PT,1618628067
204,Sioux Lookout,50.1001,-91.917,37.4,48,75,4.61,CA,1618628090
205,Pimentel,-6.8367,-79.9342,66.99,82,100,4.0,PE,1618628263
206,Riohacha,11.5444,-72.9072,77.97,85,100,9.17,CO,1618628171
207,Al Bardīyah,31.7561,25.0865,73.38,29,36,15.43,LY,1618628264
208,Bereda,43.2686,-7.5406,33.01,95,49,1.01,ES,1618628264
209,Aitape,-3.1374,142.3475,74.71,95,100,3.0,PG,1618628265
210,Chimbote,-9.0853,-78.5783,66.6,87,100,6.49,PE,1618628265
211,Guerrero Negro,27.9769,-114.0611,59.0,74,0,18.86,MX,1618628266
212,Malindi,-3.2175,40.1191,79.81,82,64,12.39,KE,1618628266
213,Tura,25.5198,90.2201,86.81,38,3,4.09,IN,1618628016
214,Charlestown,-32.95,151.6667,61.0,93,100,4.61,AU,1618628267
215,Fukiage-fujimi,36.1,139.45,57.2,100,90,3.44,JP,1618628267
216,Jacareacanga,-6.2222,-57.7528,73.49,98,100,2.71,BR,1618628268
217,Vila Franca do Campo,37.7167,-25.4333,60.8,100,75,9.22,PT,1618627839
218,Sur,22.5667,59.5289,85.78,42,71,4.09,OM,1618627983
219,La Rioja,42.25,-2.5,41.0,65,75,10.36,ES,1618628145
220,Ampanihy,-24.7,44.75,61.23,69,50,8.05,MG,1618628269
221,Cayenne,4.9333,-52.3333,81.0,78,75,5.75,GF,1618628079
222,Båtsfjord,70.6345,29.7185,39.0,86,100,31.27,NO,1618628270
223,Atambua,-9.1061,124.8925,82.67,60,19,1.81,ID,1618628271
224,Ust'-Koksa,50.2696,85.6108,47.86,47,99,3.53,RU,1618628271
225,Ségou,13.4317,-6.2157,89.46,33,100,4.29,ML,1618628292
226,Surazh,53.0175,32.3918,39.6,94,11,6.53,RU,1618628292
227,Gra Lygia,35.0167,25.6833,71.6,43,40,4.61,GR,1618628293
228,Palmer,42.1584,-72.3287,39.2,75,75,13.8,US,1618628250
229,Biak,-0.9131,122.8766,81.1,75,91,4.85,ID,1618628294
230,Verkhoyansk,67.5447,133.385,29.46,79,100,20.78,RU,1618628294
231,Kalianget,-7.05,113.9333,83.68,69,9,10.04,ID,1618628295
232,Kiryat Gat,31.61,34.7642,63.0,40,2,1.01,IL,1618628295
233,Shenjiamen,29.9576,122.298,61.68,79,99,16.89,CN,1618628109
234,Richards Bay,-28.783,32.0377,62.8,77,99,3.51,ZA,1618628150
235,Egvekinot,66.3167,-179.1667,29.57,98,100,12.15,RU,1618628197
236,Eilat,29.5581,34.9482,71.06,34,0,5.06,IL,1618628297
237,Tomatlán,19.9333,-105.25,68.22,71,0,0.89,MX,1618628092
238,Redcliffe,-27.2307,153.0973,73.0,83,75,6.91,AU,1618628298
239,Sola,-13.8833,167.55,82.6,69,11,14.58,VU,1618628156
240,Upernavik,72.7868,-56.1549,-10.89,99,83,7.49,GL,1618628083
241,Umluj,25.0213,37.2685,75.94,70,0,4.85,SA,1618628299
242,Mgandu,-5.95,34.1333,60.42,96,98,7.2,TZ,1618628299
243,Manokwari,-0.8667,134.0833,83.64,71,99,7.11,ID,1618628300
244,Nieuw Amsterdam,5.8833,-55.0833,79.0,89,62,1.01,SR,1618628300
245,General Roca,-39.0333,-67.5833,50.0,71,0,7.72,AR,1618628301
246,Ilulissat,69.2167,-51.1,5.0,78,90,11.5,GL,1618628046
247,The Valley,18.217,-63.0578,80.6,83,20,9.22,AI,1618627946
248,Kirkwall,58.9848,-2.9587,42.8,93,100,7.99,GB,1618628302
249,Roald,62.5833,6.1333,37.0,69,0,8.05,NO,1618628302
250,Carballo,43.213,-8.691,46.0,81,0,1.14,ES,1618628303
251,Pemba,-12.974,40.5178,73.4,100,40,9.22,MZ,1618628303
252,Lorengau,-2.0226,147.2712,85.53,69,91,8.05,PG,1618628151
253,Mfou,3.7159,11.6427,71.6,94,75,2.3,CM,1618628304
254,São Francisco,-15.9486,-44.8644,67.32,54,2,3.71,BR,1618628305
255,Cologne,50.9333,6.95,46.0,75,0,1.14,DE,1618628306
256,Galt,38.2546,-121.3,68.0,44,2,8.99,US,1618628306
257,Ukiah,39.1502,-123.2078,69.8,24,1,12.66,US,1618628307
258,Emerald,-23.5333,148.1667,84.0,42,0,8.05,AU,1618628308
259,Iqaluit,63.7506,-68.5145,14.0,73,75,9.22,CA,1618628083
260,Maragogi,-9.0122,-35.2225,76.23,87,80,5.26,BR,1618628308
261,Mutsu,41.2894,141.2169,54.0,82,75,3.44,JP,1618628309
262,Taltal,-25.4,-70.4833,61.52,87,33,3.22,CL,1618628121
263,Margate,51.3813,1.3862,42.01,76,2,1.99,GB,1618628309
264,Shellbrook,53.2168,-106.4011,55.4,21,40,4.61,CA,1618628310
265,Codrington,-38.2667,141.9667,62.94,57,100,11.99,AU,1618628310
266,Hirara,24.8,125.2833,77.0,83,75,11.5,JP,1618628311
267,Trindade,-16.6494,-49.4889,73.4,68,0,4.61,BR,1618628312
268,Bhādra,29.1167,75.1667,78.6,36,37,2.42,IN,1618628109
269,Yaan,7.3833,8.5667,78.03,76,100,8.37,NG,1618628312
270,Katsuura,35.1333,140.3,64.99,62,100,17.63,JP,1618628088
271,Ponta Delgada,37.7333,-25.6667,60.8,100,75,9.22,PT,1618628333
272,Bogandé,12.9714,-0.1436,83.46,53,66,15.12,BF,1618628334
273,Laem Sing,12.4816,102.0738,86.0,79,40,2.26,TH,1618628334
274,Binzhou,37.3667,118.0167,60.17,13,0,19.55,CN,1618628335
275,Sabzawār,36.2126,57.6819,60.26,51,0,5.37,IR,1618628172
276,Naryan-Mar,67.6713,53.087,29.05,97,100,12.01,RU,1618628335
277,La Ronge,55.1001,-105.2842,46.4,39,76,2.3,CA,1618628336
278,Rizómata,40.3472,22.2036,48.0,93,100,3.44,GR,1618628337
279,Guhāgar,17.4842,73.1929,83.98,57,0,6.91,IN,1618628337
280,Ahipara,-35.1667,173.1667,64.92,57,2,15.46,NZ,1618628043
281,Lang Suan,9.9456,99.0785,86.0,70,0,2.3,TH,1618628298
282,Ambon City,-3.6954,128.1814,87.8,66,40,8.05,ID,1618628071
283,Kudahuvadhoo,2.6708,72.8944,82.38,70,78,7.2,MV,1618628338
284,Fortuna,40.5982,-124.1573,50.0,100,1,10.36,US,1618628339
285,Carlyle,38.6103,-89.3726,54.0,68,100,1.01,US,1618628339
286,Avera,33.194,-82.5271,55.99,87,1,4.47,US,1618628340
287,Port Keats,-14.25,129.55,91.87,40,99,13.47,AU,1618628340
288,Cootamundra,-34.65,148.0333,66.99,45,0,1.01,AU,1618628341
289,Chara,56.9064,118.2631,35.29,99,97,3.94,RU,1618628161
290,Lavrentiya,65.5833,-171.0,33.3,88,100,9.46,RU,1618628342
291,Huarmey,-10.0681,-78.1522,68.61,83,100,5.66,PE,1618628342
292,Totness,5.8833,-56.3167,77.79,83,10,10.49,SR,1618628343
293,Port Hardy,50.6996,-127.4199,64.4,42,1,8.05,CA,1618628078
294,Dali,25.7,100.1833,65.43,41,100,5.39,CN,1618628344
295,Bandarbeyla,9.4942,50.8122,80.28,72,18,4.72,SO,1618628135
296,Bilibino,68.0546,166.4372,23.88,71,100,7.56,RU,1618628071
297,Goundam,16.4145,-3.6708,83.62,13,57,9.73,ML,1618628344
298,Te Anau,-45.4167,167.7167,54.25,50,55,5.5,NZ,1618628111
299,Taoudenni,22.6783,-3.9836,77.31,18,90,10.29,ML,1618628070
300,San Felipe,10.3399,-68.7425,73.08,96,92,3.0,VE,1618628345
301,Morant Bay,17.8815,-76.4093,80.6,74,20,6.91,JM,1618628346
302,Larsnes,62.2028,5.5773,42.01,68,0,1.99,NO,1618628347
303,Mossamedes,-15.1961,12.1522,80.85,65,11,6.96,AO,1618627804
304,Mohpa,21.3167,78.8167,84.2,28,40,4.61,IN,1618628347
305,Rocha,-34.4833,-54.3333,60.73,94,0,2.17,UY,1618628066
306,Marsh Harbour,26.5412,-77.0636,75.24,71,4,12.84,BS,1618628185
307,Saldanha,-33.0117,17.9442,62.6,55,0,3.44,ZA,1618628348
308,Vila Velha,-20.3297,-40.2925,69.8,94,75,3.44,BR,1618628115
309,Anloga,5.7947,0.8973,82.4,78,20,3.44,GH,1618628349
310,Port-Gentil,-0.7193,8.7815,81.7,78,100,7.25,GA,1618628126
311,Shiraz,29.6036,52.5388,48.2,43,0,2.46,IR,1618628229
312,Zharkent,44.1628,80.0,61.39,55,89,3.36,KZ,1618628350
313,Houma,29.5958,-90.7195,66.2,94,90,10.36,US,1618628172
314,Qaryat Sulūq,31.6682,20.2521,78.08,17,60,13.82,LY,1618628351
315,Agüimes,27.9054,-15.4461,66.2,82,75,19.57,ES,1618628128
316,Lüderitz,-26.6481,15.1594,78.31,33,92,11.83,NA,1618628113
317,Brigantine,39.4101,-74.3646,50.0,66,90,9.22,US,1618628352
318,Puerto Escondido,15.85,-97.0667,80.6,78,40,8.05,MX,1618628353
319,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.0,36,33,15.66,RU,1618628373
320,Alofi,-19.0595,-169.9187,84.2,65,6,10.36,NU,1618628374
321,Angoche,-16.2325,39.9086,79.11,62,97,16.08,MZ,1618628374
322,Novokuznetsk,53.7557,87.1099,36.84,67,100,14.29,RU,1618628374
323,Geraldton,-28.7667,114.6,80.6,22,100,18.41,AU,1618628375
324,Talaya,61.3833,152.75,25.25,60,7,11.54,RU,1618627861
325,Marystown,47.1666,-55.1483,33.49,82,13,17.49,CA,1618628242
326,Praia,14.9215,-23.5087,69.8,73,20,14.97,CV,1618628208
327,Susanville,40.4163,-120.653,53.6,28,75,4.61,US,1618628231
328,Atherton,53.5237,-2.4935,39.99,69,16,2.93,GB,1618628376
329,Naze,28.3667,129.4833,75.2,88,75,19.57,JP,1618628377
330,Saint-Philippe,-21.3585,55.7679,77.0,83,0,3.44,RE,1618628370
331,Bariloche,-41.1456,-71.3082,54.0,53,40,4.61,AR,1618628121
332,Beringovskiy,63.05,179.3167,33.44,90,100,14.54,RU,1618628378
333,Matara,5.9485,80.5353,81.7,77,87,4.25,LK,1618628101
334,Talnakh,69.4865,88.3972,-8.84,93,100,3.74,RU,1618628239
335,Rāvar,31.2656,56.8055,66.24,33,2,3.49,IR,1618628379
336,Butterworth,5.3991,100.3638,84.99,74,20,4.61,MY,1618628380
337,Saint George,37.1041,-113.5841,60.8,31,90,10.36,US,1618628254
338,Mayumba,-3.432,10.6554,78.51,87,100,4.32,GA,1618628381
339,Nerchinskiy Zavod,51.3088,119.61,48.52,23,5,14.47,RU,1618628382
340,‘Ewa Beach,21.3156,-158.0072,78.8,57,90,8.05,US,1618628132
341,Mattru,7.6244,-11.8332,75.72,88,83,2.04,SL,1618628384
342,Kajaani,64.2273,27.7285,24.8,86,0,1.14,FI,1618628384
343,St. George's,12.0564,-61.7485,80.6,83,40,20.71,GD,1618628385
344,Robertsport,6.7533,-11.3686,80.71,79,100,9.17,LR,1618628386
345,Kulhudhuffushi,6.6221,73.07,83.52,68,91,0.74,MV,1618628386
346,Doctor Arroyo,23.6667,-100.1833,75.33,14,53,3.58,MX,1618628387
347,Mehamn,71.0357,27.8492,39.07,92,100,33.35,NO,1618628379
348,Cap Malheureux,-19.9842,57.6142,81.0,82,36,4.0,MU,1618628388
349,Puri,19.8,85.85,86.0,66,0,12.66,IN,1618628388
350,Thayetmyo,19.3167,95.1833,79.03,69,100,2.55,MM,1618628389
351,Inta,66.0317,60.1659,23.16,93,100,2.55,RU,1618628389
352,Cururupu,-1.8283,-44.8683,74.53,97,100,1.95,BR,1618628390
353,Umm Kaddadah,13.6017,26.6876,71.87,10,18,15.08,SD,1618628390
354,Flinders,-34.5833,150.8552,66.99,67,100,1.01,AU,1618628376
355,Bonthe,7.5264,-12.505,78.58,86,79,6.62,SL,1618628065
356,Oni,42.5794,43.4425,48.72,83,100,4.09,GE,1618628391
357,Laas,46.6166,10.7002,32.0,80,0,5.75,IT,1618628392
